,wheelbase,carlength,carwidth,carheight,enginesize,boreratio,stroke,compressionratio,horsepower,price,diesel,gas,front,rear,std,turbo
97,94.5,170.2,63.8,53.5,97,3.15,3.29,9.4,69,7999.0,0,1,1,0,1,0
98,95.1,162.4,63.8,53.3,97,3.15,3.29,9.4,69,8249.0,0,1,1,0,1,0
99,97.2,173.4,65.2,54.7,120,3.33,3.47,8.5,97,8949.0,0,1,1,0,1,0
100,97.2,173.4,65.2,54.7,120,3.33,3.47,8.5,97,9549.0,0,1,1,0,1,0
101,100.4,181.7,66.5,55.1,181,3.43,3.27,9.0,152,13499.0,0,1,1,0,1,0
102,100.4,184.6,66.5,56.1,181,3.43,3.27,9.0,152,14399.0,0,1,1,0,1,0
103,100.4,184.6,66.5,55.1,181,3.43,3.27,9.0,152,13499.0,0,1,1,0,1,0
104,91.3,170.7,67.9,49.7,181,3.43,3.27,9.0,160,17199.0,0,1,1,0,1,0
105,91.3,170.7,67.9,49.7,181,3.43,3.27,7.8,200,19699.0,0,1,1,0,0,1
106,99.2,178.5,67.9,49.7,181,3.43,3.27,9.0,160,18399.0,0,1,1,0,1,0
107,107.9,186.7,68.4,56.7,120,3.46,3.19,8.4,97,11900.0,0,1,1,0,1,0
108,107.9,186.7,68.4,56.7,152,3.7,3.52,21.0,95,13200.0,1,0,1,0,0,1
109,114.2,198.9,68.4,58.7,120,3.46,3.19,8.4,97,12440.0,0,1,1,0,1,0
110,114.2,198.9,68.4,58.7,152,3.7,3.52,21.0,95,13860.0,1,0,1,0,0,1
111,107.9,186.7,68.4,56.7,120,3.46,2.19,8.4,95,15580.0,0,1,1,0,1,0
112,107.9,186.7,68.4,56.7,152,3.7,3.52,21.0,95,16900.0,1,0,1,0,0,1
113,114.2,198.9,68.4,56.7,120,3.46,2.19,8.4,95,16695.0,0,1,1,0,1,0
114,114.2,198.9,68.4,58.7,152,3.7,3.52,21.0,95,17075.0,1,0,1,0,0,1
115,107.9,186.7,68.4,56.7,120,3.46,3.19,8.4,97,16630.0,0,1,1,0,1,0
116,107.9,186.7,68.4,56.7,152,3.7,3.52,21.0,95,17950.0,1,0,1,0,0,1
117,108.0,186.7,68.3,56.0,134,3.61,3.21,7.0,142,18150.0,0,1,1,0,0,1
118,93.7,157.3,63.8,50.8,90,2.97,3.23,9.4,68,5572.0,0,1,1,0,1,0
119,93.7,157.3,63.8,50.8,98,3.03,3.39,7.6,102,7957.0,0,1,1,0,0,1
120,93.7,157.3,63.8,50.6,90,2.97,3.23,9.4,68,6229.0,0,1,1,0,1,0
121,93.7,167.3,63.8,50.8,90,2.97,3.23,9.4,68,6692.0,0,1,1,0,1,0
122,93.7,167.3,63.8,50.8,98,2.97,3.23,9.4,68,7609.0,0,1,1,0,1,0
123,103.3,174.6,64.6,59.8,122,3.35,3.46,8.5,88,8921.0,0,1,1,0,1,0
124,95.9,173.2,66.3,50.2,156,3.59,3.86,7.0,145,12764.0,0,1,1,0,0,1
125,94.5,168.9,68.3,50.2,151,3.94,3.11,9.5,143,22018.0,0,1,1,0,1,0
126,89.5,168.9,65.0,51.6,194,3.74,2.9,9.5,207,32528.0,0,1,0,1,1,0
127,89.5,168.9,65.0,51.6,194,3.74,2.9,9.5,207,34028.0,0,1,0,1,1,0
128,89.5,168.9,65.0,51.6,194,3.74,2.9,9.5,207,37028.0,0,1,0,1,1,0
129,98.4,175.7,72.3,50.5,203,3.94,3.11,10.0,288,31400.5,0,1,1,0,1,0
130,96.1,181.5,66.5,55.2,132,3.46,3.9,8.7,90,9295.0,0,1,1,0,1,0
131,96.1,176.8,66.6,50.5,132,3.46,3.9,8.7,90,9895.0,0,1,1,0,1,0
132,99.1,186.6,66.5,56.1,121,3.54,3.07,9.31,110,11850.0,0,1,1,0,1,0
133,99.1,186.6,66.5,56.1,121,3.54,3.07,9.3,110,12170.0,0,1,1,0,1,0
134,99.1,186.6,66.5,56.1,121,2.54,2.07,9.3,110,15040.0,0,1,1,0,1,0
135,99.1,186.6,66.5,56.1,121,3.54,3.07,9.3,110,15510.0,0,1,1,0,1,0
136,99.1,186.6,66.5,56.1,121,3.54,3.07,9.0,160,18150.0,0,1,1,0,0,1
137,99.1,186.6,66.5,56.1,121,3.54,3.07,9.0,160,18620.0,0,1,1,0,0,1
138,93.7,156.9,63.4,53.7,97,3.62,2.36,9.0,69,5118.0,0,1,1,0,1,0
139,93.7,157.9,63.6,53.7,108,3.62,2.64,8.7,73,7053.0,0,1,1,0,1,0
140,93.3,157.3,63.8,55.7,108,3.62,2.64,8.7,73,7603.0,0,1,1,0,1,0
141,97.2,172.0,65.4,52.5,108,3.62,2.64,9.5,82,7126.0,0,1,1,0,1,0
142,97.2,172.0,65.4,52.5,108,3.62,2.64,9.5,82,7775.0,0,1,1,0,1,0
143,97.2,172.0,65.4,52.5,108,3.62,2.64,9.0,94,9960.0,0,1,1,0,1,0
144,97.0,172.0,65.4,54.3,108,3.62,2.64,9.0,82,9233.0,0,1,1,0,1,0
145,97.0,172.0,65.4,54.3,108,3.62,2.64,7.7,111,11259.0,0,1,1,0,0,1
146,97.0,173.5,65.4,53.0,108,3.62,2.64,9.0,82,7463.0,0,1,1,0,1,0
147,97.0,173.5,65.4,53.0,108,3.62,2.64,9.0,94,10198.0,0,1,1,0,1,0
148,96.9,173.6,65.4,54.9,108,3.62,2.64,9.0,82,8013.0,0,1,1,0,1,0
149,96.9,173.6,65.4,54.9,108,3.62,2.64,7.7,111,11694.0,0,1,1,0,0,1
150,95.7,158.7,63.6,54.5,92,3.05,3.03,9.0,62,5348.0,0,1,1,0,1,0
151,95.7,158.7,63.6,54.5,92,3.05,3.03,9.0,62,6338.0,0,1,1,0,1,0
152,95.7,158.7,63.6,54.5,92,3.05,3.03,9.0,62,6488.0,0,1,1,0,1,0
153,95.7,169.7,63.6,59.1,92,3.05,3.03,9.0,62,6918.0,0,1,1,0,1,0
154,95.7,169.7,63.6,59.1,92,3.05,3.03,9.0,62,7898.0,0,1,1,0,1,0
155,95.7,169.7,63.6,59.1,92,3.05,3.03,9.0,62,8778.0,0,1,1,0,1,0
156,95.7,166.3,64.4,53.0,98,3.19,3.03,9.0,70,6938.0,0,1,1,0,1,0
157,95.7,166.3,64.4,52.8,98,3.19,3.03,9.0,70,7198.0,0,1,1,0,1,0
158,95.7,166.3,64.4,53.0,110,3.27,3.35,22.5,56,7898.0,1,0,1,0,1,0
159,95.7,166.3,64.4,52.8,110,3.27,3.35,22.5,56,7788.0,1,0,1,0,1,0
160,95.7,166.3,64.4,53.0,98,3.19,3.03,9.0,70,7738.0,0,1,1,0,1,0
161,95.7,166.3,64.4,52.8,98,3.19,3.03,9.0,70,8358.0,0,1,1,0,1,0
162,95.7,166.3,64.4,52.8,98,3.19,3.03,9.0,70,9258.0,0,1,1,0,1,0
163,94.5,168.7,64.0,52.6,98,3.19,3.03,9.0,70,8058.0,0,1,1,0,1,0
164,94.5,168.7,64.0,52.6,98,3.19,3.03,9.0,70,8238.0,0,1,1,0,1,0
165,94.5,168.7,64.0,52.6,98,3.24,3.08,9.4,112,9298.0,0,1,1,0,1,0
166,94.5,168.7,64.0,52.6,98,3.24,3.08,9.4,112,9538.0,0,1,1,0,1,0
167,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,8449.0,0,1,1,0,1,0
168,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,9639.0,0,1,1,0,1,0
169,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,9989.0,0,1,1,0,1,0
170,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,11199.0,0,1,1,0,1,0
171,98.4,176.2,65.6,52.0,146,3.62,3.5,9.3,116,11549.0,0,1,1,0,1,0
172,98.4,176.2,65.6,53.0,146,3.62,3.5,9.3,116,17669.0,0,1,1,0,1,0
173,102.4,175.6,66.5,54.9,122,3.31,3.54,8.7,92,8948.0,0,1,1,0,1,0
174,102.4,175.6,66.5,54.9,110,3.27,3.35,22.5,73,10698.0,1,0,1,0,0,1
175,102.4,175.6,66.5,53.9,122,3.31,3.54,8.7,92,9988.0,0,1,1,0,1,0
176,102.4,175.6,66.5,54.9,122,3.31,3.54,8.7,92,10898.0,0,1,1,0,1,0
177,102.4,175.6,66.5,53.9,122,3.31,3.54,8.7,92,11248.0,0,1,1,0,1,0
178,102.9,183.5,67.7,52.0,171,3.27,3.35,9.3,161,16558.0,0,1,1,0,1,0
179,102.9,183.5,67.7,52.0,171,3.27,3.35,9.3,161,15998.0,0,1,1,0,1,0
180,104.5,187.8,66.5,54.1,171,3.27,3.35,9.2,156,15690.0,0,1,1,0,1,0
181,104.5,187.8,66.5,54.1,161,3.27,3.35,9.2,156,15750.0,0,1,1,0,1,0
182,97.3,171.7,65.5,55.7,97,3.01,3.4,23.0,52,7775.0,1,0,1,0,1,0
183,97.3,171.7,65.5,55.7,109,3.19,3.4,9.0,85,7975.0,0,1,1,0,1,0
184,97.3,171.7,65.5,55.7,97,3.01,3.4,23.0,52,7995.0,1,0,1,0,1,0
185,97.3,171.7,65.5,55.7,109,3.19,3.4,9.0,85,8195.0,0,1,1,0,1,0
186,97.3,171.7,65.5,55.7,109,3.19,3.4,9.0,85,8495.0,0,1,1,0,1,0
187,97.3,171.7,65.5,55.7,97,3.01,3.4,23.0,68,9495.0,1,0,1,0,0,1
188,97.3,171.7,65.5,55.7,109,3.19,3.4,10.0,100,9995.0,0,1,1,0,1,0
189,94.5,159.3,64.2,55.6,109,3.19,3.4,8.5,90,11595.0,0,1,1,0,1,0
190,94.5,165.7,64.0,51.4,109,3.19,3.4,8.5,90,9980.0,0,1,1,0,1,0
191,100.4,180.2,66.9,55.1,136,3.19,3.4,8.5,110,13295.0,0,1,1,0,1,0
192,100.4,180.2,66.9,55.1,97,3.01,3.4,23.0,68,13845.0,1,0,1,0,0,1
193,100.4,183.1,66.9,55.1,109,3.19,3.4,9.0,88,12290.0,0,1,1,0,1,0
194,104.3,188.8,67.2,56.2,141,3.78,3.15,9.5,114,12940.0,0,1,1,0,1,0
195,104.3,188.8,67.2,57.5,141,3.78,3.15,9.5,114,13415.0,0,1,1,0,1,0
196,104.3,188.8,67.2,56.2,141,3.78,3.15,9.5,114,15985.0,0,1,1,0,1,0
197,104.3,188.8,67.2,57.5,141,3.78,3.15,9.5,114,16515.0,0,1,1,0,1,0
198,104.3,188.8,67.2,56.2,130,3.62,3.15,7.5,162,18420.0,0,1,1,0,0,1
199,104.3,188.8,67.2,57.5,130,3.62,3.15,7.5,162,18950.0,0,1,1,0,0,1
200,109.1,188.8,68.9,55.5,141,3.78,3.15,9.5,114,16845.0,0,1,1,0,1,0
201,109.1,188.8,68.8,55.5,141,3.78,3.15,8.7,160,19045.0,0,1,1,0,0,1
202,109.1,188.8,68.9,55.5,173,3.58,2.87,8.8,134,21485.0,0,1,1,0,1,0
203,109.1,188.8,68.9,55.5,145,3.01,3.4,23.0,106,22470.0,1,0,1,0,0,1
204,109.1,188.8,68.9,55.5,141,3.78,3.15,9.5,114,22625.0,0,1,1,0,0,1
